Column1,Column2
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,112
Anhui,65
Anhui,45
Anhui,111
Anhui,91
Anhui,91
Anhui,84
Anhui,233
Anhui,65
Anhui,45
Anhui,111
Anhui,91
Anhui,91
Anhui,84
Anhui,233
Anhui,65
Anhui,45
Anhui,182
Anhui,182
Anhui,182
Anhui,233
Anhui,117
Anhui,65
Anhui,45
Anhui,111
Anhui,91
Anhui,91
Anhui,84
Anhui,233
Anhui,65
Anhui,45
Anhui,91
Anhui,91
Anhui,84
Anhui,111
Anhui,60
Anhui,182
Anhui,182
Anhui,182
Anhui,233
Anhui,65
Anhui,45
Anhui,111
Anhui,91
Anhui,91
Anhui,84
Anhui,233
Anhui,65
Anhui,45
Anhui,111
Anhui,91
Anhui,91
Anhui,84
Anhui,233
Anhui,65
Anhui,45
Anhui,111
Anhui,91
Anhui,91
Anhui,84
Anhui,233
Anhui-Chuzhou,88
Anhui-Chuzhou,88
Anhui-Chuzhou,88
Anhui-Chuzhou,88
Anhui-Chuzhou,88
Anhui-Chuzhou,88
Anhui-Chuzhou,88
Anhui-Chuzhou,88
Beijing,102
China,10
China,10
China,10
China,10
China,10
China,10
China,10
China,10
China,61
China,32
China,10
China,355
China,78
China,27
China,61
China,32
China,10
China,355
China,78
China,27
China,61
China,32
China,10
China,27
China,61
China,32
China,10
China,355
China,78
China,27
China,61
China,32
China,10
China,355
China,78
China,27
China,61
China,32
China,10
China,355
China,78
China,27
China,61
China,32
China,10
China,355
China,78
China,27
China,61
China,32
China,10
China,355
China,78
China,27
Chongqing,54
Dongguan,352
Dongguan,352
Dongguan,352
Dongguan,352
Dongguan,352
Dongguan,51
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,51
Dongguan,51
Dongguan,352
Dongguan,352
Dongguan,352
Dongguan,352
Dongguan,352
Dongguan,51
Dongguan,51
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,51
Dongguan,352
Dongguan,352
Dongguan,352
Dongguan,352
Dongguan,352
Dongguan,51
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,51
Dongguan,51
Dongguan,352
Dongguan,352
Dongguan,352
Dongguan,352
Dongguan,51
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,51
Dongguan,51
Dongguan,352
Dongguan,352
Dongguan,352
Dongguan,352
Dongguan,51
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,51
Dongguan,51
Dongguan,352
Dongguan,352
Dongguan,352
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,51
Dongguan,51
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,52
Dongguan,51
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,52
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,51
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
Dongguan,353
